"","Virus","Subtype","clade","day","Sample","sample_time","ferret","PFU","RNA","ratio","AUC_PFU","AUC_RNA","ratio_auc","trans","trans_cat","trans_3cat"
"126","BC","H5N1","D1.1","d5","SPOT","30min","6761",0,0,0,-0.13917917572291,0,0,0,"non-transmissible","Non-transmissible"
"127","BC","H5N1","D1.1","d5","NIOSH","30min","6760",0.903089986991944,3.7735687554127,2.87047876842075,1.04481234441636,3.534244079905,2.48943173548863,0,"non-transmissible","Non-transmissible"
"128","BC","H5N1","D1.1","d5","NIOSH","30min","6760",0.1249387366083,3.6394064093879,3.5144676727796,1.04481234441636,3.534244079905,2.48943173548863,0,"non-transmissible","Non-transmissible"
"129","BC","H5N1","D1.1","d5","NIOSH","30min","6761",0,2.79000397773795,0,0.212303431710126,2.92114102006338,2.70883758835325,0,"non-transmissible","Non-transmissible"
"130","BC","H5N1","D1.1","d5","NIOSH","30min","6761",0,0,0,0.212303431710126,2.92114102006338,2.70883758835325,0,"non-transmissible","Non-transmissible"
"131","BC","H5N1","D1.1","d5","NW","","6760",6,8.30901188251172,2.30901188251171,6.9912260756925,9.05959421249683,2.06836813680433,0,"non-transmissible","Non-transmissible"
"132","BC","H5N1","D1.1","d5","NW","","6761",6.43136376415899,8.68604708025323,2.25468331609424,6.60959440922522,8.63511632413731,2.02552191491209,0,"non-transmissible","Non-transmissible"
"133","VN1203","H5N1","1","d1","SPOT","30min","6755",0,3.74504456993623,0,0,3.26064595759284,0,0,"non-transmissible","Non-transmissible"
"134","VN1203","H5N1","1","d1","SPOT","30min","6757",0.529827543193592,2.92082404551224,2.39099650231865,-0.13917917572291,2.92003150501017,3.05921068073308,0,"non-transmissible","Non-transmissible"
"135","VN1203","H5N1","1","d1","SPOT","30min","6759",0.529827543193592,3.5733973104067,3.04356976721311,-0.13917917572291,3.10322518905436,3.24240436477727,0,"non-transmissible","Non-transmissible"
"136","VN1203","H5N1","1","d1","NIOSH","30min","6755",0,3.68661420991018,0,0,3.53812860706987,0,0,"non-transmissible","Non-transmissible"
"137","VN1203","H5N1","1","d1","NIOSH","30min","6755",0,2.97573865000413,0,0,3.53812860706987,0,0,"non-transmissible","Non-transmissible"
"138","VN1203","H5N1","1","d1","NIOSH","30min","6757",0.960491458716326,3.55564830940927,2.59515685069294,0.416423414366051,3.78060420684544,3.36418079247939,0,"non-transmissible","Non-transmissible"
"139","VN1203","H5N1","1","d1","NIOSH","30min","6757",0.11539341870207,3.14377481412951,3.02838139542744,0.416423414366051,3.78060420684544,3.36418079247939,0,"non-transmissible","Non-transmissible"
"140","VN1203","H5N1","1","d1","NIOSH","30min","6759",0.416423414366051,3.89642250161113,3.47999908724508,0.212303431710126,3.6108664887441,3.39856305703397,0,"non-transmissible","Non-transmissible"
"141","VN1203","H5N1","1","d1","NIOSH","30min","6759",0.592514673421732,3.15412693582384,2.56161226240211,0.212303431710126,3.6108664887441,3.39856305703397,0,"non-transmissible","Non-transmissible"
"142","VN1203","H5N1","1","d1","NW","","6755",4.95424250943933,7.1474647223546,2.19322221291528,5.29003461136252,8.51591249098829,3.22587787962578,0,"non-transmissible","Non-transmissible"
"143","VN1203","H5N1","1","d1","NW","","6757",5.63346845557959,7.91399813877555,2.28052968319596,5.66745295288995,8.75332666346514,3.08587371057519,0,"non-transmissible","Non-transmissible"
"144","VN1203","H5N1","1","d1","NW","","6759",4.90308998699194,7.55303846194214,2.6499484749502,5.43933269383026,8.77239065753222,3.33305796370196,0,"non-transmissible","Non-transmissible"
"145","VN1203","H5N1","1","d2","SPOT","30min","6755",0,2.98864217608996,0,0,3.26064595759284,0,0,"non-transmissible","Non-transmissible"
"146","VN1203","H5N1","1","d2","SPOT","30min","6757",0,3.0563331715673,0,-0.13917917572291,2.92003150501017,3.05921068073308,0,"non-transmissible","Non-transmissible"
"147","VN1203","H5N1","1","d2","SPOT","30min","6759",0,2.83108529689733,0,-0.13917917572291,3.10322518905436,3.24240436477727,0,"non-transmissible","Non-transmissible"
"148","VN1203","H5N1","1","d2","NIOSH","30min","6755",0,3.23605395594378,0,0,3.53812860706987,0,0,"non-transmissible","Non-transmissible"
"149","VN1203","H5N1","1","d2","NIOSH","30min","6755",0,2.92215565325096,0,0,3.53812860706987,0,0,"non-transmissible","Non-transmissible"
